sample,C1,C2,C3,285_amp
ResA-015,51561.2138184407,10816.4812634981,5330.2828659784755,30485.57316690762
ResA-015,54887.880173437596,10638.209198332583,4353.521512567849,29752.13487243913
ResA-015,55817.03340240551,9810.015589695187,2953.8352566693684,30418.756612462785
ResA-015,54181.17376204678,10726.724791909613,4905.35856939589,31686.765962929232
ResA-015,53053.92570198464,10473.18458280433,1813.0161438256741,30928.05706436117
ResA-015,53507.072065639426,10895.252657239229,4480.773568349417,30787.64613443065
ResA-015,54858.22849504718,10752.614729048204,3936.7624552477664,29982.06292428136
ResA-015,55300.392166002246,11450.78901909624,4651.325286597618,31200.06926180445
ResA-015,53664.23209124393,11008.902842446489,4458.300320475672,29735.946522189464
ResA-015,49514.43724698912,11059.133476654104,5098.409419868055,30648.189942322628
ResA-016,43085.51289466944,6327.974081565823,3654.2474510237175,19647.33830932906
ResA-016,34687.2318765512,8508.306248489194,4520.669743046657,19128.779638869077
ResA-016,39934.65422574838,5699.809422110568,3162.330160844107,19451.325477547398
ResA-016,31589.756488148436,6226.821937904692,1514.1226194503865,19067.754188068873
ResA-016,32256.115909456985,7308.781137360665,2246.882170930942,19245.21952592535
ResA-016,37107.246453726984,6188.373004423209,2134.242604090453,19305.894611500524
ResA-016,31926.68660578768,7941.7799281333855,3569.0287636946928,19362.21360241169
ResA-016,34506.2747841296,7582.447940079895,3372.1258071439665,19144.674482252245
ResA-016,42846.291567422144,5393.263375341739,2704.252169027921,19880.553747185433
ResA-016,35994.71552323541,7311.808954635346,2637.326221133218,19601.09609142539
ResA-017,39295.94228507805,6495.709023779384,2175.783276825438,21356.020868240936
ResA-017,36347.647654588756,7893.650287804643,3167.750402932601,20252.257372137108
ResA-017,37265.2279158614,6216.328542529847,1911.2189023617887,20237.07772568497
ResA-017,35254.61555192732,7396.21177309191,2331.0224443462425,19692.885539593684
ResA-017,37778.463742199616,7009.536058144583,3387.659110398733,21406.64964248334
ResA-017,37106.51588817449,8375.612385980168,3768.9360916082214,21431.21837269958
ResA-017,35477.08942325256,6979.846057075801,2518.7891491973423,20464.816999235183
ResA-017,35410.66377032998,8341.774301312555,3638.159248253725,21974.481686226383
ResA-017,40627.805879711595,5662.809258399903,1768.1135606739672,21717.019515522057
ResA-017,39466.58244713408,7869.592144049698,3636.8857146418245,20865.983226398603
Res-025,32347.37561075285,8142.717912273944,4195.297901909978,19485.765154068686
Res-025,36419.66879019964,8025.923997623252,5545.434830167562,18627.234004371057
Res-025,35502.315804847305,7528.206082463295,4057.8443356587004,18128.851025096075
Res-025,34166.65503791494,7276.310527881691,4329.2283828932905,17779.344695387765
Res-025,30253.58657315902,7310.265251858627,1724.3796947008505,18327.392462030453
Res-025,39598.12910525606,7992.079973762056,5165.685062424874,18569.687719883266
Res-025,36197.62220863354,9197.310347597298,5987.660886830337,17519.539446021547
Res-025,37138.32792051619,8646.02572236972,4604.174365929747,18248.311833943022
Res-025,36671.45544389294,7927.680220731759,4856.2852612010765,19844.1909620508
Res-025,38790.19907249148,7184.7061584584535,3992.886553616515,18823.789346790298
Res-025,20000.631761774024,5037.422211973119,3489.9533692955843,9931.035479706217
Res-025,35191.90496953373,8898.763797227093,5656.2651480907,18846.217805261025
Res-025,39706.60803470638,6803.055288717719,4325.063055921063,19006.17346348447
Res-025,38113.48124188596,7393.149009105038,3901.8323844675074,18788.86972173181
Res-025,29471.015178417216,7674.002268587276,3752.5605952049013,18945.881931113683
Res-025,39175.68760436474,8509.61061976685,5109.958685023397,18087.24273056991
Res-025,34149.8883624225,8248.686893086444,4949.2080820279225,18401.05925719721
