sample,NbO,NbO2,Nb2O5,Nb,202_amp,207_amp
ResA-015,8198.795644565049,24723.26988717244,417134.13721658656,57814.92660124788,39135.42669737812,310283.53663692897
ResA-015,8104.013796916832,25325.624663286027,415699.1150497569,57146.67080899849,38787.740445470554,307930.58328288444
ResA-015,8164.736717442001,25276.618467684475,412306.8022256493,57471.42414254169,38652.422014302894,305593.0280264395
ResA-015,8635.908075926845,25064.572570288045,409002.4177040152,57103.04114411202,39327.24094301717,305913.9733746876
ResA-015,8405.069658046215,25567.48639642725,408731.47728359874,56384.37842032717,37626.03253054462,302539.53735836677
ResA-015,8734.78884871881,26095.097251821466,413973.4467454453,57745.54338289384,38485.413035268575,306819.0408563477
ResA-015,8731.392705907392,26086.74905196784,417751.3494396967,58655.19851497636,39531.74935876913,308857.4518174529
ResA-015,8573.902735398153,26838.76437015176,410699.07534230896,57012.81608443798,39899.35993011028,307028.1913964602
ResA-015,9131.70440741684,26923.454976790494,409399.7499707036,58342.511475725776,39020.07288093267,305828.267532727
ResA-015,8879.002221851008,28123.487549991387,406971.95454919623,58533.55510674229,38983.22615400282,302819.53799397754
ResA-016,9061.693717393737,25639.564670831838,412855.63954358787,57568.660385799994,39563.220516437104,303800.53768586606
ResA-016,8719.737206064337,25593.933833945037,404738.7357084481,54967.69163847115,37636.76553060464,298499.4997290832
ResA-016,8435.326535216615,26614.358266285886,402720.2307507394,55034.27616068368,37968.97813880722,296601.8280953395
ResA-016,8789.325190217134,26018.649127823588,407932.2581125999,55884.665172522,37723.27071546498,299884.6089842326
ResA-016,8679.744925077504,26763.775953564385,409492.771681525,56817.67706990914,38198.624257823576,302134.013138063
ResA-016,8888.578258370306,27912.12001440613,402418.8475267404,55816.92830766261,37814.88327565696,298544.29213960574
ResA-016,8967.425763006797,26787.78758580247,400683.46927995933,55766.545586730106,38027.63472433377,293449.50271779374
ResA-016,8748.984706374862,27650.349741670245,412431.74906102073,57262.25166534593,39133.84697582577,304943.3513300441
ResA-016,9819.700127366992,27928.890203254843,411222.9097049736,58688.73109526384,40257.250272244266,301539.8317901493
ResA-016,9038.435802743994,29811.897836129476,409705.89749230235,57815.25212672334,39430.616559759044,300864.0034662132
ResA-017,8796.959042156604,24440.095268307705,423987.33245971764,57045.28960912558,40398.24812699325,312333.02002220147
ResA-017,8977.282295596911,24662.9108895946,428640.3695985946,58974.28720820053,39624.63138843526,315096.79915199534
ResA-017,9058.1985888738,28648.689872456944,424686.1550907022,59207.59015515476,41213.276046433544,312884.46450657933
ResA-017,9083.496161965688,28699.214573990605,425339.1208787727,59522.512289308936,41988.31699440196,311896.94009707996
ResA-017,9371.972504113035,29064.90586546129,426166.8065237934,60608.82614656815,41577.21811627709,311809.6659679714
ResA-017,9357.245787044998,28982.96883507845,425499.26267689606,60717.93465403596,41374.187671203246,312202.65742331755
ResA-017,9687.0245592795,28303.36119630239,425545.17854144325,59761.39218235366,40143.04617711569,315689.4465346091
ResA-017,8948.059440128109,25136.928802793613,433695.46235608234,59170.89200483172,40202.98696805247,316694.95951849164
ResA-017,9141.485445729459,25637.89964576957,431756.9675951638,59559.23078490022,40453.41032503895,319489.3959293487
ResA-017,8899.259393513326,26542.69303759005,428950.55020926497,57814.620381617664,39318.07009376697,318886.56836433127
Res-025,5907.469845134461,17071.0400102525,393533.68743054505,40588.36982856084,29395.1756316118,285453.2137447047
